No;Date;Open;High;Low;Close;Volume;;;
551;Mar 12, 2023;1.890,80;1.913,10;1.875,10;1.911,70;503,00;;;
552;Mar 13, 2023;1.912,20;1.912,20;1.901,10;1.906,20;107,00;;;
553;Mar 14, 2023;1.903,90;1.926,60;1.898,50;1.926,60;564,00;;;
554;Mar 15, 2023;1.909,90;1.931,70;1.909,90;1.919,00;394,00;;;
555;Mar 16, 2023;1.946,00;1.985,10;1.946,00;1.969,80;82,00;;;
556;Mar 19, 2023;1.988,30;2.003,90;1.968,90;1.979,20;389,00;;;
557;Mar 20, 2023;1.973,80;1.973,80;1.938,00;1.938,00;47,00;;;
558;Mar 21, 2023;1.946,80;1.974,00;1.946,80;1.946,80;50,00;;;
559;Mar 22, 2023;1.990,50;1.994,60;1.990,50;1.993,80;33,00;;;
560;Mar 23, 2023;1.991,70;1.995,40;1.982,10;1.982,10;19,00;;;
561;Mar 26, 2023;1.957,20;1.957,20;1.952,40;1.952,40;877,00;;;
562;Mar 27, 2023;1.972,40;1.972,40;1.972,40;1.972,40;21,00;;;
563;Mar 28, 2023;1.966,10;1.966,10;1.966,10;1.966,10;88.563,00;;;
564;Mar 29, 2023;1.965,90;1.984,40;1.954,90;1.980,30;10.119,00;;;
565;Mar 30, 2023;1.981,30;1.986,80;1.968,00;1.969,00;957,00;;;
566;Apr 02, 2023;1.968,10;1.991,70;1.950,00;1.983,90;737,00;;;
567;Apr 03, 2023;1.984,60;2.027,10;1.979,00;2.022,20;811,00;;;
568;Apr 04, 2023;2.022,10;2.033,80;2.013,60;2.020,90;525,00;;;
569;Apr 05, 2023;2.022,20;2.023,30;2.005,00;2.011,90;,;;;
570;Apr 09, 2023;2.000,00;2.006,60;1.984,00;1.989,10;652,00;;;
571;Apr 10, 2023;1.991,40;2.006,50;1.991,40;2.004,80;68,00;;;
572;Apr 11, 2023;2.005,20;2.025,70;2.005,20;2.010,90;172,00;;;
573;Apr 12, 2023;2.015,60;2.048,60;2.015,60;2.041,30;1.043,00;;;
574;Apr 13, 2023;2.041,00;2.047,80;1.995,00;2.002,20;718,00;;;
575;Apr 16, 2023;2.002,70;2.007,60;1.983,20;1.994,20;554,00;;;
576;Apr 17, 2023;1.996,90;2.007,40;1.996,90;2.007,40;72,00;;;
577;Apr 18, 2023;2.005,70;2.006,40;1.969,80;1.995,20;61,00;;;
578;Apr 19, 2023;1.998,00;2.007,60;1.998,00;2.007,60;164,00;;;
579;Apr 20, 2023;1.996,20;1.996,20;1.974,10;1.979,50;132,00;;;
580;Apr 23, 2023;1.981,30;1.989,80;1.977,40;1.989,10;145,00;;;
581;Apr 24, 2023;1.995,70;1.999,10;1.982,30;1.994,00;306,00;;;
582;Apr 25, 2023;1.997,80;1.998,80;1.985,60;1.985,70;615,00;;;
583;Apr 26, 2023;1.990,60;2.002,30;1.979,90;1.989,90;355,00;;;
584;Apr 27, 2023;1.986,90;1.990,10;1.977,70;1.990,10;152,00;;;
585;Apr 30, 2023;1.980,10;2.005,00;1.976,90;1.983,40;210,00;;;
586;May 01, 2023;1.994,70;2.018,00;1.994,70;2.014,30;1.896,00;;;
587;May 02, 2023;2.017,10;2.035,10;2.015,20;2.028,60;1.349,00;;;
588;May 03, 2023;2.045,00;2.072,00;2.040,00;2.048,00;930,00;;;
589;May 04, 2023;2.046,40;2.046,40;2.004,30;2.017,40;59,00;;;
590;May 07, 2023;2.022,50;2.026,30;2.022,50;2.026,30;3,00;;;
591;May 08, 2023;2.026,60;2.037,30;2.025,90;2.036,20;241,00;;;
592;May 09, 2023;2.032,30;2.044,30;2.029,50;2.030,50;248,00;;;
593;May 10, 2023;2.034,10;2.038,30;2.014,00;2.014,70;90,00;;;
594;May 11, 2023;2.014,50;2.014,50;2.014,50;2.014,50;115,00;;;
595;May 14, 2023;2.013,80;2.018,00;2.013,80;2.018,00;3,00;;;
596;May 15, 2023;1.988,40;1.988,40;1.988,40;1.988,40;49,00;;;
597;May 16, 2023;1.983,60;1.983,60;1.980,70;1.980,70;13,00;;;
598;May 17, 2023;1.956,50;1.956,80;1.956,50;1.956,50;23,00;;;
599;May 18, 2023;1.960,00;1.978,70;1.960,00;1.978,70;106,00;;;
600;May 21, 2023;1.980,50;1.980,50;1.974,80;1.974,80;8,00;;;
